Leitura,Leitura_filtrada,Escrita,ModoOperacao,ValorDesejado,CicloInicio,CicloFim
2.778144,2.778144,5.0,0,0.0,6428326173,6428326204
2.782419,2.782419,5.0,0,0.0,6429326188,6429326219
2.757755,2.786694,5.0,0,0.0,6430326191,6430326221
2.787681,2.787681,5.0,0,0.0,6431326217,6431326247
2.787023,2.787023,5.0,0,0.0,6432326242,6432326272
2.766963,2.786366,5.0,0,0.0,6433326221,6433326251
2.77091,2.77091,5.0,0,0.0,6434326272,6434326302
2.790312,2.755453,5.0,0,0.0,6435326285,6435326315
2.782091,2.782091,5.0,0,0.0,6436326302,6436326332
2.764004,2.801493,5.0,0,0.0,6437326318,6437326349
2.764661,2.764661,5.0,0,0.0,6438326334,6438326364
2.787352,2.746574,5.0,0,0.0,6439326353,6439326384
2.767621,2.767621,5.0,0,0.0,6440326356,6440326386
2.795902,2.795902,5.0,0,0.0,6441326391,6441326421
2.760386,2.816949,5.0,0,0.0,6442326262,6442326304
2.754138,2.754138,5.0,0,0.0,6443326394,6443326423
2.773211,2.718622,5.0,0,0.0,6444326260,6444326290
2.764332,2.764332,5.0,0,0.0,6445326397,6445326427
2.769594,2.769594,5.0,0,0.0,6446326466,6446326497
2.769265,2.769265,5.0,0,0.0,6447326483,6447326513
2.777487,2.777487,5.0,0,0.0,6448326471,6448326501
2.767292,2.767292,5.0,0,0.0,6449326471,6449326501
2.774856,2.774856,5.0,0,0.0,6450326532,6450326562
2.780446,2.780446,5.0,0,0.0,6451326541,6451326572
2.764661,2.764661,5.0,0,0.0,6452326556,6452326586
2.768608,2.768608,5.0,0,0.0,6453326578,6453326609
2.768936,2.768936,5.0,0,0.0,6454326601,6454326631
2.774856,2.774856,5.0,0,0.0,6455326617,6455326647
2.772225,2.772225,5.0,0,0.0,6456326624,6456326654
2.766634,2.766634,5.0,0,0.0,6457326648,6457326679
2.767292,2.767292,5.0,0,0.0,6458326585,6458326615
2.770581,2.770581,5.0,0,0.0,6459326677,6459326707
2.770252,2.770252,5.0,0,0.0,6460326689,6460326721
2.772554,2.772554,5.0,0,0.0,6461326711,6461326741
2.772554,2.772554,5.0,0,0.0,6462326731,6462326761
3.33588,2.774856,5.0,0,0.0,6463326736,6463326766
2.769923,2.769923,5.0,0,0.0,6464326765,6464326795
2.772554,2.772554,5.0,0,0.0,6465326668,6465326698
2.762359,2.762359,5.0,0,0.0,6466326794,6466326824
2.764661,2.764661,5.0,0,0.0,6467326765,6467326794
2.769265,2.769265,5.0,0,0.0,6468326826,6468326856
2.768936,2.768936,5.0,0,0.0,6469326842,6469326872
2.773211,2.773211,5.0,0,0.0,6470326851,6470326882
2.771238,2.771238,5.0,0,0.0,6471326873,6471326903
2.77091,2.77091,5.0,0,0.0,6472326788,6472326819
2.766963,2.766963,5.0,0,0.0,6473326825,6473326856
2.762688,2.762688,5.0,0,0.0,6474326918,6474326948
2.761044,2.761044,5.0,0,0.0,6475326939,6475326970
2.752823,2.752823,5.0,0,0.0,6476326960,6476326991
2.762688,2.762688,5.0,0,0.0,6477326968,6477326998
2.765648,2.765648,5.0,0,0.0,6478326942,6478326972
2.772225,2.772225,5.0,0,0.0,6479326759,6479326788
2.75644,2.775185,5.0,0,0.0,6480327026,6480327055
2.771238,2.771238,5.0,0,0.0,6481327039,6481327069
2.761702,2.761702,5.0,0,0.0,6482327029,6482327071
2.751507,2.751507,5.0,0,0.0,6483327078,6483327109
2.762359,2.74197,5.0,0,0.0,6484327090,6484327120
2.745588,2.745588,5.0,0,0.0,6485327081,6485327111
2.764661,2.764661,5.0,0,0.0,6486327100,6486327130
2.747561,2.747561,5.0,0,0.0,6487327142,6487327172
2.749863,2.749863,5.0,0,0.0,6488327127,6488327158
2.760057,2.760057,5.0,0,0.0,6489327141,6489327172
2.76203,2.76203,5.0,0,0.0,6490327188,6490327217
2.755453,2.755453,5.0,0,0.0,6491327198,6491327228
2.761702,2.761702,5.0,0,0.0,6492327221,6492327252
2.760715,2.760715,5.0,0,0.0,6493327229,6493327259
2.763346,2.763346,5.0,0,0.0,6494327251,6494327281
2.760715,2.760715,5.0,0,0.0,6495327220,6495327250
2.752823,2.752823,5.0,0,0.0,6496327282,6496327311
2.755453,2.755453,5.0,0,0.0,6497327299,6497327329
2.758742,2.758742,5.0,0,0.0,6498327318,6498327349
2.758742,2.758742,5.0,0,0.0,6499327335,6499327365
2.754796,2.754796,5.0,0,0.0,6500327329,6500327359
2.752494,2.752494,5.0,0,0.0,6501327371,6501327401
2.752823,2.752823,5.0,0,0.0,6502327361,6502327391
2.751836,2.751836,5.0,0,0.0,6503327399,6503327429
2.762688,2.762688,5.0,0,0.0,6504327333,6504327364
2.746245,2.746245,5.0,0,0.0,6505327433,6505327463
2.755453,2.755453,5.0,0,0.0,6506327442,6506327473
2.742957,2.742957,5.0,0,0.0,6507327456,6507327486
2.761044,2.761044,5.0,0,0.0,6508327374,6508327405
2.743944,2.743944,5.0,0,0.0,6509327490,6509327520
2.753809,2.753809,5.0,0,0.0,6510327510,6510327540
2.741642,2.741642,5.0,0,0.0,6511327420,6511327451
2.762688,2.762688,5.0,0,0.0,6512327527,6512327557
2.746574,2.746574,5.0,0,0.0,6513327563,6513327593
2.761373,2.761373,5.0,0,0.0,6514327577,6514327607
2.756111,2.756111,5.0,0,0.0,6515327597,6515327627
2.770581,2.770581,5.0,0,0.0,6516327610,6516327640
2.746245,2.746245,5.0,0,0.0,6517327626,6517327656
2.755125,2.755125,5.0,0,0.0,6518327614,6518327645
2.752165,2.752165,5.0,0,0.0,6519327625,6519327655
2.750849,2.750849,5.0,0,0.0,6520327681,6520327711
2.753809,2.753809,5.0,0,0.0,6521327686,6521327716
2.75348,2.75348,5.0,0,0.0,6522327711,6522327741
2.752494,2.752494,5.0,0,0.0,6523327726,6523327756
2.752165,2.752165,5.0,0,0.0,6524327743,6524327773
2.749534,2.749534,5.0,0,0.0,6525327753,6525327783
2.741642,2.741642,5.0,0,0.0,6526327760,6526327790
2.750849,2.750849,5.0,0,0.0,6527327540,6527327570
2.745917,2.745917,5.0,0,0.0,6528327808,6528327838
2.751178,2.751178,5.0,0,0.0,6529327825,6529327855
3.033006,2.75644,5.0,0,0.0,6530327840,6530327870
2.751836,2.751836,5.0,0,0.0,6531327839,6531327869
2.748219,2.748219,5.0,0,0.0,6532327851,6532327883
2.753809,2.753809,5.0,0,0.0,6533327886,6533327916
2.748547,2.748547,5.0,0,0.0,6534327814,6534327845
2.755125,2.755125,5.0,0,0.0,6535327917,6535327948
2.739997,2.739997,5.0,0,0.0,6536327914,6536327944
2.739997,2.739997,5.0,0,0.0,6537327939,6537327969
2.740655,2.740655,5.0,0,0.0,6538327800,6538327830
2.751178,2.751178,5.0,0,0.0,6539327977,6539328018
2.738682,2.738682,5.0,0,0.0,6540328014,6540328060
2.730789,2.730789,5.0,0,0.0,6541327975,6541328013
2.75348,2.722897,5.0,0,0.0,6542328046,6542328077
2.71928,2.71928,5.0,0,0.0,6543328032,6543328065
2.757098,2.757098,5.0,0,0.0,6544328063,6544328105
2.740984,2.740984,5.0,0,0.0,6545328042,6545328085
2.748547,2.748547,5.0,0,0.0,6546328104,6546328133
2.740655,2.740655,5.0,0,0.0,6547328123,6547328153
2.730789,2.730789,5.0,0,0.0,6548328135,6548328166
2.723883,2.723883,5.0,0,0.0,6549328143,6549328188
2.756769,2.716978,5.0,0,0.0,6550328163,6550328193
2.740984,2.740984,5.0,0,0.0,6551328176,6551328206
2.750192,2.750192,5.0,0,0.0,6552328183,6552328213
2.725199,2.7594,5.0,0,0.0,6553328217,6553328247
2.745917,2.745917,5.0,0,0.0,6554328232,6554328263
2.745917,2.745917,5.0,0,0.0,6555328244,6555328275
2.740984,2.740984,5.0,0,0.0,6556328265,6556328295
2.752494,2.752494,5.0,0,0.0,6557328282,6557328312
2.737366,2.737366,5.0,0,0.0,6558328283,6558328313
2.723555,2.723555,5.0,0,0.0,6559328307,6559328337
2.748219,2.709743,5.0,0,0.0,6560328324,6560328354
2.750849,2.750849,5.0,0,0.0,6561328250,6561328280
2.740655,2.740655,5.0,0,0.0,6562328367,6562328397
2.735064,2.735064,5.0,0,0.0,6563328380,6563328410
2.736709,2.736709,5.0,0,0.0,6564328397,6564328427
2.752494,2.752494,5.0,0,0.0,6565328415,6565328445
2.766306,2.766306,5.0,0,0.0,6566328424,6566328455
2.750521,2.780117,5.0,0,0.0,6567328244,6567328274
2.737695,2.737695,5.0,0,0.0,6568328449,6568328480
